numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServices;dbTraveledDistance;dbTransportTime;dbCompletionTime;dbWaitingTime;dbTotalCosts;iNumDeliveries
200;2000;200,0;200,0;0,05;2;4147,568;7;1333;30649,08488195498;30649,08488195497;105677,45177471917;200,36689276413455;2074943,0465083523;0,0
200;2000;200,0;200,0;0,05;2;4082,511;7;1323;30439,744061347305;30439,744061347308;105969,66722876803;125,92316742069227;2091210,41701456;0,0
200;2000;200,0;200,0;0,05;2;4225,022;7;1290;30195,161943452647;30195,161943452644;105620,50378641693;161,34184296428293;2174051,6599285905;0,0
200;2000;200,0;200,0;0,05;2;4272,568;7;1323;30284,99382714966;30284,99382714966;106218,90152328696;164,90769613729526;2080579,075925182;0,0
200;2000;200,0;200,0;0,05;2;4334,724;7;1294;30370,341514619435;30370,341514619435;105671,41622534866;191,07471072923323;2174516,4524467518;0,0
