numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServices;dbTraveledDistance;dbTransportTime;dbCompletionTime;dbWaitingTime;dbTotalCosts;iNumDeliveries
10;100;45,0;45,0;0,04938271604938271;2;5,841;7;70;1242,2569077261799;1242,2569077261799;5200,25690772618;0,0;4969,027630904719;0,0
10;77;45,0;45,0;0,04938271604938271;2;3,283;7;68;1334,9972098888634;1334,9972098888634;5157,601284828341;35,60407493947673;2536,4946987888407;0,0
10;100;45,0;45,0;0,04938271604938271;2;5,523;7;70;1227,210202366512;1227,2102023665125;5271,420480288533;2,2102779220218736;4908,840809466048;0,0
10;91;45,0;45,0;0,04938271604938271;2;4,8;7;69;1280,3841725237435;1280,3841725237435;5215,3841725237435;0,0;4097,2293520759795;0,0
10;100;45,0;45,0;0,04938271604938271;2;5,94;7;70;1230,6634180879626;1230,6634180879623;5208,398093842831;24,734675754869386;4922,65367235185;0,0
10;54;45,0;45,0;0,04938271604938271;2;2,331;7;54;1014,9153254892968;1014,9153254892967;4357,501388620962;126,58606313166456;1014,9153254892968;0,0
10;100;45,0;45,0;0,04938271604938271;2;5,935;7;70;1301,3285188122518;1301,328518812252;5144,826960476873;31,4984416646206;5205,314075249007;0,0
10;83;45,0;45,0;0,04938271604938271;2;3,984;7;69;1247,568593334623;1247,5685933346224;5139,492159538613;35,92356620398914;2994,1646240030955;0,0
10;100;45,0;45,0;0,04938271604938271;2;6,133;7;71;1191,5300860425284;1191,5300860425286;5206,530086042529;0,0;4646,967335565861;0,0
10;88;45,0;45,0;0,04938271604938271;2;4,649;7;69;1238,8187557262613;1238,8187557262604;5271,633528725619;12,814772999358524;3592,574391606158;0,0
