numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServices;dbTraveledDistance;dbTransportTime;dbCompletionTime;dbWaitingTime;dbTotalCosts;iNumDeliveries
10;100;35,0;35,0;0,08163265306122448;2;7,332;7;67;1242,8171131674592;1242,8171131674594;5126,750170578077;12,933057410617266;5344,113586620075;0,0
10;80;35,0;35,0;0,08163265306122448;2;4,078;7;66;1357,1564046104434;1357,1564046104431;5060,156404610443;0,0;3257,175371065064;0,0
10;100;35,0;35,0;0,08163265306122448;2;5,875;7;73;1328,896501388162;1328,8965013881625;5252,8965013881625;0,0;4916,9170551362;0,0
10;69;35,0;35,0;0,08163265306122448;2;2,655;7;67;1456,4555192934845;1456,455519293484;5294,758705902777;7,303186609292538;1747,7466231521814;0,0
10;100;35,0;35,0;0,08163265306122448;2;5,901;7;71;1411,7485708933364;1411,7485708933364;5390,769777293476;33,02120640014073;5505,819426484012;0,0
10;80;35,0;35,0;0,08163265306122448;2;3,729;7;70;1511,7239718875596;1511,7239718875592;5303,72397188756;0,0;3023,4479437751197;0,0
10;100;35,0;35,0;0,08163265306122448;2;5,719;7;69;1454,7025102224677;1454,7025102224675;5199,9653162104105;10,262805987943011;5964,280291912119;0,0
10;86;35,0;35,0;0,08163265306122448;2;4,318;7;68;1519,9135390805495;1519,91353908055;5222,9135390805495;0,0;4255,757909425539;0,0
10;100;35,0;35,0;0,08163265306122448;2;5,877;7;67;1408,1828992050882;1408,1828992050878;5460,329010976109;14,146111771021083;6055,186466581879;0,0
10;89;35,0;35,0;0,08163265306122448;2;4,801;7;66;1361,9342947825694;1361,9342947825692;5396,546894129367;23,612599346797424;4494,38317278248;0,0
