numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServices;dbTraveledDistance;dbTransportTime;dbCompletionTime;dbWaitingTime;dbTotalCosts;iNumDeliveries
10;100;100,0;100,0;0,01;2;5,916;7;75;1092,6209321549948;1092,6209321549948;5420,4836482116425;23,862716056646775;3824,173262542482;0,0
10;75;100,0;100,0;0,01;2;3,272;7;73;1047,08095687124;1047,0809568712398;5302,6816774217505;12,600720550510118;1256,497148245488;0,0
10;100;100,0;100,0;0,01;2;5,986;7;76;1120,192275490703;1120,1922754907037;5290,217058467622;67,02478297691914;3808,6537366683906;0,0
10;70;100,0;100,0;0,01;2;2,885;7;70;987,1648492886375;987,1648492886372;4904,099855732924;192,93500644428656;987,1648492886375;0,0
10;100;100,0;100,0;0,01;2;6,06;7;76;964,4380483643813;964,4380483643818;5479,79650671412;19,358458349738385;3279,0893644388966;0,0
10;73;100,0;100,0;0,01;2;3,154;7;73;978,5467404351507;978,546740435151;5200,011037135157;43,46429670000464;978,5467404351507;0,0
10;100;100,0;100,0;0,01;2;5,871;7;72;1061,7444741621243;1061,7444741621234;5268,744474162123;0,0;4034,629001816073;0,0
10;78;100,0;100,0;0,01;2;3,386;7;68;1066,5393523283192;1066,5393523283192;5109,4417338469675;3,902381518647985;2133,0787046566384;0,0
10;100;100,0;100,0;0,01;2;5,881;7;76;1090,740416089223;1090,7404160892233;5245,451626196791;5,711210107567297;3708,517414703358;0,0
10;86;100,0;100,0;0,01;2;4,301;7;76;1079,6465650093332;1079,6465650093335;5221,3222872480355;16,675722238700928;2159,2931300186665;0,0
