numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServices;dbTraveledDistance;dbTransportTime;dbCompletionTime;dbWaitingTime;dbTotalCosts;iNumDeliveries
100;1000;142,0;142,0;0,04959333465582226;2;483,369;24;707;11841,20834647505;11841,20834647505;52316,55255106359;42,344204588535376;358788,61289819406;0,0
100;1000;142,0;142,0;0,04959333465582226;2;499,921;24;729;11805,583706434787;11805,583706434789;53771,36288496637;85,77917853158363;331736,90215081756;0,0
100;1000;142,0;142,0;0,04959333465582226;2;502,782;24;717;12290,088306928405;12290,088306928406;53037,41130930644;77,32300237804441;360099,58739300224;0,0
100;1000;142,0;142,0;0,04959333465582226;2;503,435;24;691;12111,04606322904;12111,046063229041;52096,25881456664;64,21275133760423;386342,3694170064;0,0
100;1000;142,0;142,0;0,04959333465582226;2;498,065;24;712;11900,437533515047;11900,437533515049;53111,64551950985;131,20798599478644;354633,0384987484;0,0
