numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServices;dbTraveledDistance;dbTransportTime;dbCompletionTime;dbWaitingTime;dbTotalCosts;iNumDeliveries
100;1000;142,0;142,0;0,04959333465582226;2;477,604;24;671;13021,926521845371;13021,926521845377;52350,83065160937;203,904129764019;441443,30909055815;0,0
100;1000;142,0;142,0;0,04959333465582226;2;432,394;24;704;13016,694162516978;13016,694162516978;53207,18164907195;54,48748655496695;398310,84137301956;0,0
100;1000;142,0;142,0;0,04959333465582226;2;470,067;24;698;12615,621167909048;12615,621167909057;52959,88772613304;122,266558223976;393607,38043876237;0,0
100;1000;142,0;142,0;0,04959333465582226;2;479,436;24;682;12831,873382254651;12831,87338225465;53050,721234405806;189,84785215113925;420885,4469379526;0,0
100;1000;142,0;142,0;0,04959333465582226;2;476,019;24;681;12545,098664629188;12545,098664629191;51848,75012948129;159,6514648521043;412733,7460663003;0,0
